conjunto,metrica,iteracao,valor
learn,Logloss,612,0.0037677968175837536
learn,Logloss,613,0.003766299307226111
learn,Logloss,614,0.003765832505381493
learn,Logloss,615,0.003765067642915475
learn,Logloss,616,0.0037619351891487523
learn,Logloss,617,0.003757557753418377
learn,Logloss,618,0.003755372065183133
learn,Logloss,619,0.0037539810771513122
learn,Logloss,620,0.003751179327319985
learn,Logloss,621,0.003749794749863892
learn,Logloss,622,0.0037480938661717807
learn,Logloss,623,0.0037473958646214015
learn,Logloss,624,0.0037469602188805263
learn,Logloss,625,0.0037459011551750757
learn,Logloss,626,0.003743903338980849
learn,Logloss,627,0.003740495213066204
learn,Logloss,628,0.0037388237106435176
learn,Logloss,629,0.003736376340741795
learn,Logloss,630,0.003733359486558722
learn,Logloss,631,0.0037320150940142547
learn,Logloss,632,0.003730037899802901
learn,Logloss,633,0.003728759764577859
learn,Logloss,634,0.003726984700967691
learn,Logloss,635,0.003726301625904531
learn,Logloss,636,0.0037244033263351553
learn,Logloss,637,0.0037231514527098263
learn,Logloss,638,0.003721088135557341
learn,Logloss,639,0.0037132387278732493
learn,Logloss,640,0.003706174101311591
learn,Logloss,641,0.0037056088415047136
learn,Logloss,642,0.0036992382522254203
learn,Logloss,643,0.003695444079551381
learn,Logloss,644,0.003689688984068104
learn,Logloss,645,0.003684482085444914
learn,Logloss,646,0.003681287399194605
learn,Logloss,647,0.003678952198250976
learn,Logloss,648,0.0036742328239379005
learn,Logloss,649,0.003673039903333739
learn,Logloss,650,0.003669983405194203
learn,Logloss,651,0.003667614984420864
learn,Logloss,652,0.0036663983096167237
learn,Logloss,653,0.0036641758642953796
learn,Logloss,654,0.003662842669187053
learn,Logloss,655,0.0036611344491156743
learn,Logloss,656,0.0036568509486418787
learn,Logloss,657,0.0036544982646292148
learn,Logloss,658,0.003652806550726883
learn,Logloss,659,0.0036509955994680986
learn,Logloss,660,0.0036487153627315643
learn,Logloss,661,0.003646956568903177
learn,Logloss,662,0.0036457575990069845
learn,Logloss,663,0.0036439175890937204
learn,Logloss,664,0.0036417010506114896
learn,Logloss,665,0.003640567483105556
learn,Logloss,666,0.0036392885499945656
learn,Logloss,667,0.003638580092901117
learn,Logloss,668,0.0036349751820330014
learn,Logloss,669,0.0036311036732678686
learn,Logloss,670,0.003628187564576454
learn,Logloss,671,0.0036253151029980017
learn,Logloss,672,0.0036240024923931452
learn,Logloss,673,0.0036227766875399094
learn,Logloss,674,0.0036195849429896377
learn,Logloss,675,0.0036133372917204216
learn,Logloss,676,0.0036104844045177424
learn,Logloss,677,0.003608792567627797
learn,Logloss,678,0.00360712054727786
learn,Logloss,679,0.003604278471669397
learn,Logloss,680,0.003601743297213855
